question_id,question,opa,opb,opc,opd,ans
6967,What is the best method for confirming amyloidosis-,Colonoscopy,Sigmoidoscopy,Rectal biopsy,Tongue biopsy,2
4867,Plasma cells are activated:,B cells,T cells,Macrophages,Monocytes,0
5531,Most common primary cardiac tumor is?,Myxoma,Rhabdomyosarcoma,Fibroma,Lipoma,0
139,Autoimmunity is caused,The pressure of forbidden clones,Expression of cryptic antigens,Negative selection of T-cells in the thymus,Inappropriate expression of the MHC proteins,2
433,"A 32-year-old woman seeking to become pregnant visits her physician for a pre-pregnancy examination. Routine prenatal laboratory testing demonstrates the following profile: HBsAg (-), anti-HBsAg (+), anti-HBcAg (-), anti-HBeAg (-), and HBV DNA (-). Which of the following likely represents the status of the patient?",Hepatitis B carrier,Immunized against hepatitis B,"Infected and within the ""window period""",Infected with hepatitis B and highly transmissible,1
6521,A 22 year old presents to his physician with hemoptysis and hematuria with basement membrane antibodies.Most likely diagnosis is:,Wagner's Granulomatosis,Goodpasture's syndrome,PAN,Churg-Strauss syndrome,1
6392,Schiller- Duval bodies is seen in:,Choriocarcinoma,Embryonal cell Ca,Endodermal sinus tumour,Immature teratoma,2
6299,Which of the following is the LEAST likely to be associated with gross hematuria?,Acute glomerulonephritis,Renal trauma,Ureteral calculi,Acute cystitis,0
2429,HLA associated with rhaumatoid ahritis,HLA-B27,HLA-DR4,HLA-CW6,HLA-B8,1
3000,A young lady presented with bilateral nodular lesions on shins. She was also found to have bilateral hilar lymphadenopathy on chest X-ray. Mantoux test reveals indurations of 5 mms. A skin biopsy would reveal -,Non caseating Granuloma,Vasculitis,Caseating Granuloma,Malignant cells,0
1003,Glanzman's thromboasthenia is characterized by defective -,Gp IIB/IIIA,Gp IB/IX,Gp IB/IIIA,GpIIB/IX,0
5454,Which is the most common cause of papillary necrosis,Analgesics abuse,Chronic alcoholism,Acute pyelonephritis,Diabetes mellitus,3
6451,Isoprostanes are formed from archidonic acid by -,Cycloxygenase,Lipoxygenase,Epoxide hydrolase,Non-enzymatic free radical peroxidation,3
1974,Which of the following cardiac valves is not commonly involved in rheumatic fever?,Mitral,Aoic,Pulmonary,Tricuspid,2
2136,Edwards syndrome is due to:(1986),Trisomy 21,Trisomy 18,18 p,Trisomy 13,1
8233,Acute radiation hepatic damage is most marked between-,1-7 days,7-21 days,21-40 days,40-100 days,3
257,"In Burkitts lymphoma, translocation seen is chromosome-",12-14 translocation,8 -14 translocation,4 - 8 translocation,12-18 translocation,1
1562,"A 70 year old male who has been chewing tobacco for the past 50 years presents with a six months history of a large, fungating, soft papillary lesions in the oral cavity. The lesion has penetrated into the mandible. Lymph nodes are not palpable. Two biopsies taken from the lesion proper show benign appearing papillomatosis with hyperkeratosis and acanthosis infiltrating the subjacent tissues. The most likely diagnosis is -",Squamous cell papilloma,Squamous cell carcinoma,Verrucous carcinoma,Malignant mixed tumour,2
5788,Which is the most common oncogene involved in human cancer?,RET,RAS,RB,pS3,1
8895,"In HIV, which cells are affected",CD4,CD8,Monocytes,Lymphocytes,0
4821,Phacolytic glaucoma arises commonly from,Late mature cataract,Immature cataract,Hypermature cataract,Intumescent cataract,2
5934,Which of the following is the most common endocrine tumour of pancreas,Insulinoma,Gastrinoma,VIPoma,Glucagonoma,0
4023,"""Michaelis Gutmann"" Bodies are seen in:",Malakoplakia,Nail Patella syndrome,Leukoplakia,Pyelonephritis,0
125,Patients with hemophilia A has bleeding disorder because of-,Lack of platelet aggregation,Lack of reaction accelerator during activation of factor X in coagulation cascade,Neutralization of antithrombin III,Release of Thromboxane A2,1
4069,Gleason's grading system is for ?,Carcinoma testis,Carcinoma colon,Carcinoma thyroid,Carcinoma prostate,3
1984,Rb gene is located on which chromosome?,6,9,13,21,2
3014,"Duodenal ulcer is most commonly caused by:March 2013 (c, d, e)",GERD,NSAID therapy,Stress ulcer,H. pylori,3
1081,Comment on the diagnosis?,Down syndrome,Turner syndrome,Prader-Willi syndrome,Patau syndrome,0
2713,A 10-year-old child presents with anemia and recurrent fractures. The X-ray shows diffuse hyper density of bone. The diagnosis is most likely to be:,Osteogenesis imperfecta,Osteopetrosis,Osteochondroma,Hyperparathyroidism,1
2359,Which of the following are/is not an activator of alternate complement system?,Factor H,IgA,Bacteria,Toxin,0
2609,"Sickle cell trait patient do not have manifestations as that of Sickle cell disease, because?",50% HbS is required for occurrence of sickling,HbA prevents sickling,50% sickles,HbA prevents polymerazitation of Hbs,0
1223,"case history of peripheral smear is showing hypersegmented neutrophils , this is due to deficiency of",vit B12 deficiency,folate deficiency,iron deficiency,thalasemia,0
7964,Charcot-Leyden crystals and Curshmann's spirals are seen in:,Bronchial asthma,Chronic bronchitis,Bronchiectasis,Emphysema,0
1691,1 month post renal transplant a patient developed fever. Which of the following is the most likely organism responsible?,Polyoma virus/BK virus,Hepatitis C virus,Varicella virus,HHV-6,1
1286,Which of the following is not an Autosomal dominant disorder?,Polycystic kidney disease,EDS,Osteogenesis imperfecta,Alkaptonuria,3
578,"A 68-year-old man presents for repair of an abdominal aoic aneurysm. Severe complicated atherosclerosis is noted at surgery, prompting concern for embolism of atheromatous material to the kidneys and other organs. If the patient were to develop a renal coical infarct as a result of surgery, which of the following would be the most likely outcome?",Chronic inflammation,Granulomatous inflammation,Hemangioma formation,Scar formation,3
7776,Steroid resistant nephritic syndrome ?,Nephrin,Alpha-actinin-4,Podocin,Transient Receptor Potential 6,2
74,Which of the following is an example of a directly acting toxin?,Acetaminophen,Mercuric chloride,Carbon tetrachloride,Bromobenzene,1
23,WHO cut-off for diagnosis of anemia in non-pregnant females is?,7 g%,10 g%,11 g%,12 g%,3
5766,Submicroscopic deletions of any size can be detected by?,Multiplex ligation-Dependent probe amplification (MLPA),Southern blotting,Cytogenomic array technology,Chromosome painting,0
5860,"In Langerhans cell histiocytosis, the characteristic abnormality seen on microscopy is -",Bibecks granules,Foamy macrophages,Giant cells,Plasma cells,0
3432,Which is not major criteria for diagnosis of rheumatic fever ?,Carditis,Subcutaneousnodules,Increased ASLO,Arthritis,2
2978,The largest ovarian tumour is seen with?,Pseudomucinous cystadenoma,Serous cystadenoma,Papillary cystadenoma,Dysgerminoma,0
7278,Osteoblasts produce -,Collagen,Calcium,Pyrophosphate,Monosodium urate,0
4367,A patient has just been admitted to hospital for observation. Based on patient's laboratory results. What is the patient's primary problem?Hematocrit 45%Hemoglobin 16g/dlPlatelets 50×109/L,Hemochromatosis,Deep vein thrombosis,Hepatic vein thrombosis,Recurrent nose bleeds,3
2646,What is the most impoant role of bradykinin in acute inflammation-,Increase in vascular permeability,Vasodilatation,Mediation of pain,Bronchoconstriction,0
3006,Most common organs involved in Wegener's granulomatosis are:,Skin and nose,Lung and kidney,Hea and kidney,Kidney and nervous system,1
7244,Renal calculi are commonly made up of,Calcium oxalate,Magnesium ammonium phosphate,Uric acid,Cystine,0
4053,Chromosome-associated with ADPKD is,14 and 16,14 and 13,16 and 4,16 and 14,2
8807,"A 15-year-old boy presented with one day history of bleedig gums, subconjunctival bleed and purpuric rash. Investigations revealed the following results:Hb-6.4 gm/dL; TLC-26,500/mm3 Platelet 35,000 mm3; prothrombin time-20 sec with a control of 13 sec; partial thromboplastin time-50sec; and Fibrinogen 10ing/dL. Peripheral smear was suggestive off acute myeloblastic leukemia. Which of the following is the most likely -",Myeloblastic leukemia without maturation,Myeloblastic leukemia with maturation,Promyelocytic leukemia,Myelomonocytic leukemia,2
4406,Geniculate neuralgia is caused in which of the following nerve?,5,6,7,8,2
1008,Which of the following is anti-inflammatory?,IL-1,IL-4,IL-6,TNF-Alpha,1
2039,In hemochromatosis iron not deposited in ?,Hea,Pituitary,Testis,Skin,2
2888,"In which of the following locations would you least expect to find significant atherosclerotic lesions in a patient with risky factors of smoking, hypertension, diabetes mellitus, and serum cholesterol level of 280 mg/dl -",Left main coronary artery,Aortic bifurcation,Circle of Willis,Pulmonary artery trunk,3
7794,Kidney changes in multiple myeloma are ?,Hyaline casts,Focal segmental glomerulosclerosis,MPGN,Fatty casts,0
4086,Masson bodies are seen in:,Usual interstitial pneumonia,Non-specific interstitial pneumonia,Cryptogenic Organizing Pneumonia,Hyaline membrane disease,2
472,"The deficiency of which of the following vitamins does
not effect on tooth development",Vit - A,Vit - D,Vit - C,Vit - K,3
5486,Schiller- Duval bodies are seen in,Teratoma,Seminoma,Yolk sac tumour,Chorio - carcinoma,2
7088,A 60 year old male had a chronic history of exposure of asbestosis. He now presents with a mass in the apex of right lung. Which of the following would be seen on electron microscopy of a biopsy from the lesion?,Melanosomes,Neurosecretory granules,Numerous long slender microvilli,Desmosomes with secretory endoplasmic reticulum,2
7502,"Schwannoma, the marked area represents",Myxoid tissue,Antony A pattern - Verocay bodies,Antony B pattern -Verucoy bodies,Antony C pattern,1
5553,A patient presents with hemoptysis and hematuria few weeks after a respiratory tract infection.ANCA antibodies are present.Likely diagnosis is:,Goodpasture's syndrome,IgA Nephropathy,Nephrotic syndrome,PSGN,0
5170,Bronchogenic sequestration is seen in which lobe-,Left lower lobe,Right upper lobe,Left middle lobe,Left upper lobe,0
2334,Which of the following is not a B-cell neoplasm?,Hairy cell leukemia,Angiocentric lymphoma,Mantle cell lymphoma,Burkitt's lymphoma,1
8434,"A 52-year-old man has a fever and cough productive of thick, gelatinous sputum that worsens over 4 days. On physical examination, his temperature is 38.2deg C. On auscultation of the chest, diffuse crackles are heard at the right lung base. Laboratory studies show WBC count, 13,240/mm3 with 71% segmented neutrophils, 8% bands, 15% lymphocytes, and 6% monocytes. A sputum gram stain shows gram-negative bacilli with mucoid capsules. His condition improves after a course of gentamicin therapy. Which of the following complications of this infection is he most likely to develop?",Abscess formation,Adenocarcinoma,Bullous emphysema,Cavitary granulomas,0
8292,Which of the following is metastatic calcification?,Psammoma bodies,Rheumatic heart disease,Milk alkali syndrome,Monckeberg's medial calcific sclerosis,2
8317,Example of mixed tumours is:,Adenoacanthoma.,Hamartoma.,Glomus Tumour.,Osteoma.,0
6404,Pyogenic infection and brain infarction associated with,Coagulative necrosis,Liquefaction necrosis,Caseous necrosis,Fat necrosis,1
7066,"After an incised wound, new collagen fibrils are seen along with a thick layer of growing epithelium. The approximate age of the wound is:",4-5 days,About 1 week,12-24 hours,24-72 hours,0
2070,Best for diagnosing pheochromocytoma is: September 2008,Urinary catecholamines and their metabolites,Serum catecholamines and their metabolites,CT scan,Surgery,0
3736,When does the Implantation occur?,On day 4 after feilization,After the endometrium undergoes a decidual reaction,When the embryo is at the morula stage,Only after priming of the uterine endometrium by progesterone and estrogen,3
6578,Which of the following has the potential of undergoing `Spontaneous' malignant  transformation?,Osteomalacia,Albright's syndrome,Paget's disease of bones,Osteogenesis imperfecta,2
2092,Which of the following is not a type of hypoproliferative anemia?,Anemia caused by Parvovirus B19 infection,Anemia of chronic disease/inflammation,Fanconi anemia,G6PD deficiency,3
1962,Which of the following is associated with > 20% risk of chromosomal anomalies:,Omphalocele,Cleft palate,Cleft lip,Spina bifida,0
8329,DAX 1 gene Mutation is associated with,Cushing's disease,Hashimoto's disease,Congenital adrenal hypoplaisa,Addison's disease,2
6765,A 45-year-old woman with long-standing rheumatoid ahritis complains of dry eyes and dry mouth. Bilateral enlargement of the parotids is noted on physical examination. The syndrome described here is best described as,Autoimmune,Infectious,Metabolic.,Metastatic,0
4138,Reticulocytes are stained with:,Methyl violet,Brilliant Cresyl blue,Sudan black,Indigo carmine,1
2952,Hyperacute graft rejection is,Type I hypersensitivity,Type II hypersensitivity,Type III hypersensitivity,Type Iv hypersensitivity,1
3461,Eosinophillia is found in?,Cryptococcus,HPV,Stronglyloides,Typhoid,2
5797,Gastrointestinal stromal malignancy arises from which of the following type of cell?,Smooth muscle,Nerve cells,Interstitial cells of Cajal,Vascular Endothelium,2
6554,Which is not a risk factor of endometrial carcinoma -,Obesity,Smoking,Infeility,Tarnoxifen,1
5710,Which of the following is Type III RPGN,SLE,IgA nephropathy,Granulomatosis with polyangitis,Cryoglobulinemia,2
1975,Mesangial deposits of monoclonal kappa/Lambda light chains in indicative of:,Mesangioproliferative glomerulonephritis,Focal and segmental glomerulosclerosis,Kimmelstiel-Wilson lesions,Amyloidosis,3
4911,"In children, Superior quadrantanopia is due to",Pituitary lesion,Temporal lobe lesion,Optic neuritis,Migraine,1
8359,Lardaceous' spleen is seen in -,CML,Hodgkin's lymphoma,Amyloidosis,Malaria,2
8138,Fibroblast in healing wound contains large quantities of which of the cell parts?,Nucleoli,Rough endoplasmic reticulum,Free non membranous bound ribosomes,Smooth endoplasmic reticulum,1
2385,Grinspan syndrome is associated with,Leukoplakia,Lichen planus,Aphthous ulcer,Oral submucous fibrosis,1
7712,Cytokine having pyrogenic activity is:-,TGF-beta,IL-6,IL-5,IL-2,1
471,Koplik spots on the buccal mucosa are seen in relation to which of the following teeth?,Incisors and canine,Canine and premolar,Only premolars,Premolar and molars,3
7568,Leucocyte alkaline phosphatase (LAP) is raised in A/E-,Myelofibrosis,Essential thrombocythemia,Polycythemia,Chronic myeloid leukemia,3
8889,The gene responsible for folic acid transport is situated on which chromosome-,10,5,X,21,3
4935,Mutation in Keratin 1 and 10 are associated with?,Epidermolysis bullosa simplex,Epidermolytic hyperkeratosis,Epidermolytic palmoplantar keratoderma,Meesmann epithelial corneal dystrophy,1
4513,"For which one of the following tumors, Gastrin is a biochemical marker -",Medullary carcinoma of thyroid,Pancreatic neuroendocrine tumor,Pheochromocytoma,Gastrointestinal stromal tumor,1
5147,Gene involved in rett syndrome,P53,MECP2,RB,BRCA,1
6395,Hyperthyroidism in children is not associated with:,Periodontal destruction,Precocious eruption of teeth,Mandibular retrognathism,Osteoporosis,2
7977,Hemolysis is predominantly intravascular in which of the following conditions?,Warm-type autoimmune hemolytic anemia,PNH,Cold-type autoimmune hemolytic anemia,Hereditary spherocytosis,1
2041,Serotonin is mainly secreted by?,Mast cells,Platelets,Neutrophills,Macrophages,1
5546,Inheritance pathern of ABO blood group system is-,Pseudodominance,Autosomal dominant,Autosomal recessive,Codominance,3
2110,Which of the following presents with macronodular cirrhosis,Primary biliary cirrhosis,Indian childhood cirrhosis,Hemochromatosis,Wilson's disease,3
6766,Carcinoma with no or minimal metastasis?,Squamous cell carcinoma,Basal cell carcinoma,Melanoma,Leydig's cell carcinoma,1
7287,"A 46-year-old woman undergoes an abdominal hysterectomy for a ""fibroid"" uterus. The surgeon requests a frozen section on the tumor, which is deferred because of the lesion's degree of cellularity. Which of the following criteria will be used by the pathologist in determining benignancy versus malignancy in permanent sections?",Mitotic rate,Cell pleomorphism,Cell necrosis,Nucleus-to-cytoplasm ratio,0
6925,Adenosine deaminase deficiency is seen in the following disease,Common variable immunodeficiency,Severe combined immunodeficiency,Chronic granulomatous disease,Nezelof syndrome,1
6790,Effective red cell diameter,Different in males and females,Diameter of 500 microns,Thalassemia minor anemia may present with normal RBC diameter,Mixed iron and folic deficiency anemia produce microcytic,2
2804,"Blockage along the course of the minor salivary duct which causes pooling of saliva behind the obstruction and localized swelling, is known as:",Ranula,Retention mucocele,Mucous extravasation mucocele,Sialolithiasis,1
4084,Large vessel vasculitis is/are:a)  Takayasu diseaseb)  Temporal arteritisc)  PANd)  Giant cell arteritise)  Wegner granulomatosis,acd,abd,abc,ab,1
5591,Which of the following production is noted in Cushing's Syndrome,Decrease production of cortisol,Increase production of cortisol,Excessive production of epinephrine,Excessive production of vasopressin,1
4347,Which of the following viruses are not implicated in human malignancies:,Epstein-Barr virus,Herpes simplex virus type I,HTLV 1,Papilloma virus,1
7049,Most common site for pheochromocytoma is?,Adrenal medulla,Adrenal cortex,Paravertebral ganglion,Paraaortic-sympathetic chain,0
1152,"A 23-year-old man presents with fever, weight loss, malaise, abdominal pain and myalgias. Workup reveals that the patient has polyaeritis nodosa. Which of the following is associated with this form of vasculitis?",Arsenic,Chlamydia pneumonia,Hepatitis B virus,Human immunodeficiency virus,2
7683,Which of the following is an example of Type 3 hypersensitivity,Asthma,Contact dermatitis,SLE,AIHA,2
3635,Irreversible cell injury is characterised by which of the following?,Mitochondrial densities,Cellular swelling,Blebs,Myelin figures,0
997,Pernicious anemia associated with ?,Gastric pathology,Renal pathology,Esophageal pathology,Oral pathology,0
6050,Which of the following findings expected on microscopic examination of biopsy from heart showing ventricular hypertrophy with asymmetric septal thickening,Aschoff bodies,Disorganisation of myofibrils,Infiltration by inflammatory cells,Localised fibrous scarring,1
2450,Characteristic feature of Goodpasture's syndrome,Lumpy-bumpy deposits on immunofluorescence,Serum antibodies against alpha 3 NC1 domain of collagen - IV,Serum antibodies against alpha 1 NCI domain of collagen III,Anti DNAse antibodies positive,1
1300,Karyotype in Kleinfilters syndrome is:,47XXY,45X0,46XXY,45XXX,0
3107,Radiation induced xerostomia would cause dental caries in:,3 weeks,3 months,2 months,2 weeks,1
4503,Which of the following helps in movement and adhesion ?,MCP1,PGE2,LTB4,CD31,3
3624,The most frequent source of infection with Listeria monocytogenes is through which of the following?,Human feces,Livestock,Raw milk,Soil,2
3264,Growth factor oncogen is -,myc,fos,sis,jun,2
3956,Diagnostic accuracy of a test is determined by,Sensitivity,Specificity,Predictive value,Odds ratio,2
7441,"A child is diagnosed with osteosarcoma based on Sunray appearance seen on X ray.
This is because of",Periosteal reaction,Calcification along the blood vessels,Calcification along the periosteum,Soft tissue invasion,1
5401,Darlings disease is,Histoplasmosis,Phycomycosis,Actinomycosis,Bleomycosis,0
3238,"65 year old man who is anaemic, complaints of back
pain, multiple radiolucencies in panaromic view",Multiple myeloma,Osteosarcoma,Giant cell granuloma,Eosinophilic,0
5717,"""Nut meg"" liver is seen in:",CVC Liver,Liver infarction,Amyloidosis,Budd chiari syndrome,0
5267,Desmoplaskin is the target antigen in:,Pemphigus vulgaris.,Paraneoplastic pemphigus.,Drug induced pemphigus.,Pemphigus foliaceous.,1
424,Coombs test is used for diagnosing,Thalassemia,Antibody-mediated hemolytic anemia,Sickle cell anemia,G6PD deficiency,1
2287,Which can be used as Immunohistochemical marker for Juvenile Rhabdomyosarcoma?,Neurofilament,Desmin,Vimentin,Cytokeratin,1
1952,Mutation of which of the following gene is most impoant in Paroxysmal Nocturnal Hemoglobinuria,Decay accelerating factor (DAF),Membrane inhibitor of reactive lysis (MIRL),Glycosyl phosphatidyl inositol (GPI),CD8 binding protein,2
5757,Intracanalicular hepatic apparatus is affected by-a) Alagille syndromeb) Cystic fibrosisc) Congential hepatic fibrosisd) Caroli diseasee) Polycystic liver disease,bcde,abd,abcd,acde,0
1784,Which of the following blood disease has a racial predilection?,Purpura,Hemophilia,Polycythemia,Thalassemia,3
3349,Darier's disease is associated with:,Pernicious anaemia,Rickets with involvement of teeth and bones,Vitamin A deficiency and involvement of oral epithelium and skin,Diffuse tender ulceration on the palate predominantly,2
4360,Given Condition is due to a defect in the normal keratinization of the oral mucosa:,White sponge Nevus.,Erythema multiformae.,Incontinentia pigmenti.,Systemic sclerosis.,0
4464,Anti-Saccharomyces cerevisiae antibodies ares seen in?,Crohn's disease,Scleroderma,SLE,Sjogren's syndrome,0
608,Maltoma is positive for-,CD 3,CD 10,CD 23,CD 5,2
8240,Delayed prolonged leakage following tissue injury is due to:,Cytokine mediated vasodilation,Histamine,Endothelial retraction,Direct effect of the injuring agent,3
1794,"Interleukin secreted by macrophages, stimulating lymphocytes is",IFN alpha,TNF alpha,IL-1,IL-6,2
6068,"A 26-year-old electrician is found unconscious in his backyard beside a metal ladder and an exposed electrical wire, suffering from a deep burn on his right hand. Resuscitation attempts are unsuccessful. Which of the following was the most likely cause of death?",Cardiac arrhythmia,Disseminated intravascular coagulation,Myocardial infarction,Rupture of the ascending aorta,0
6586,Her-2 neu receptor is used in breast carcinoma for,Screening of the breast carcinoma,Diagnosis of cancer,Predicting response to treatment,Detect recurrence,2
